author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,_merge
Ashley Courtenay,"['Courtenay, Ashley.']","[""Let's halt awhile in Ireland.""]",[1968.0],"['London : Barrie & Rockcliff,']",['eng'],['Hotels'],"['""The pioneer guide to the best hotels, inns and guest houses in Ireland personally recommended by the author and his colleagues for the high standards they offer to the discriminating traveller of today.""']",1968.0,1968.0,1,left_only
Ed McBain,"['McBain, Ed,1926-2005.', 'McBain, Ed,1926-2005.', 'McBain, Ed,1926-2005.', 'McBain, Ed,1926-2005.', 'McBain, Ed,1926-2005.', 'McBain, Ed,1926-2005.']","['He who hesitates : a novel of the 87th precinct /', 'Lady, lady, I did it! an 87th precinct mystery', ""Let's hear it for the deaf man /"", 'Axe : an 87th Precinct mystery /', 'Snow white and rose red', 'Another part of the city /']","[1979.0, 1980.0, 1984.0, 1968.0, 1985.0, 1989.0]","['London : Coronet,', 'London Severn House [Distributed by Hutchinson]', 'London : Mandarin,', 'Harmondsworth : Penguin,', 'London Hamilton', 'Bath : Chivers,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, 'English fiction.', nan, nan, nan, nan]","['Originally published: London : Hamish Hamilton, 1965.', 'Originally published : New York : Simon and Schuster, 1961; London : Boardman, 1963', nan, ""Originally published in Britain (B64-21805) H.Hamilton, 1964. Originally published as 'Ax' Simon & Schuster, 1964"", nan, nan]",1968.0,1989.0,6,left_only
Paula Fox,"['Fox, Paula,1923-', 'Fox, Paula.']","['The lost boy', 'How many miles to Babylon? : a novel /']","[1989.0, 1968.0]","['Chivers', 'London : Macmillan,']","['eng', 'eng']","[nan, nan]","[nan, 'For adolescents.']",1968.0,1989.0,2,left_only
Royal Medicopsychological Association,['Royal Medico-psychological Association.'],['Recent developments in affective disorders : a symposium /'],[1968.0],['London : Published by authority of the Royal Medico-Psychological Association by Headley /'],['eng'],[nan],['Includes bibliography.'],1968.0,1968.0,1,left_only
J. William Miller,"['Miller, J. William.']",['Modern playwrights at work.'],[1968.0],"['New York ; London : French,']",['eng'],['Drama.'],['Includes bibliography (p. 543-547) and index.'],1968.0,1968.0,1,left_only
Ronald Ljoint author St Pierre,"['St. Pierre, Ronald L.joint author.']","['Immunohematology,']",[1968.0],"['New York : Appleton-Century-Crofts,']",['eng'],['Immunohematology.'],['Includes bibliographies.'],1968.0,1968.0,1,left_only
John Updike,"['Updike, John.', 'Updike, John.', 'Updike, John.', 'Updike, John.']","['Couples', 'Pigeon feathers and other stories', 'Memories of the Ford administration : a novel /', 'Rabbit redux']","[1968.0, 1978.0, 1993.0, 1973.0]","['Deutsch', 'Harmondsworth Penguin Books', 'London : Penguin,', 'Harmondsworth Penguin']","['eng', 'eng', 'eng', 'eng']","[nan, 'Short stories, English.', nan, nan]","[nan, 'This ed. originally published: 1965', nan, 'Originally published, New York: Knopf, 1971; London: Deutsch, 1972']",1968.0,1993.0,4,left_only
Allan Rjoint author Menzies,"['Menzies, Allan R.joint author.']",['Attacking judo: integrated movement patterns;'],[1968.0],"['London: Pelham,']",['eng'],['Judo.'],[nan],1968.0,1968.0,1,left_only
Council of Europe,"['Council of Europe.', 'Council of Europe.', 'Council of Europe.', 'Council of Europe.', 'Council of Europe.', 'Council of Europe.', 'Council of Europe.', 'Council of Europe.', 'Council of Europe.', 'Council of Europe.']","['Measuring cell adhesion /', 'Forum /', 'Forty years : Council of Europe : programme.', 'An environmental strategy for golf in Europe /', 'Regional and local broadcasting in Europe /', 'Alternative measures to imprisonment /', 'Alcohol and crime : study prepared at the request of the Council of Europe /', 'Bibliography of translations of codes and other laws of private law = Bibliographie des traductions des codes et autres droits droit privé /', 'Protocol No. 3 to the European Outline Convention on Transfrontier Co-operation between Territorial Communities or Authorities concerning Euroregional Co-operation Groupings (ECGs) = Protocole N° 3 à la Convention-cadre européenne sur la coopération transfrontalière des collectivités ou autorités territoriales relatif aux Groupements eurorégionaux de coopération (GEC).', 'International classification of patents for invention under the European Convention of 19th December, 1954.']","[1991.0, 1978.0, 1989.0, 1995.0, nan, 1986.0, 1984.0, 1975.0, 2009.0, 1968.0]","['Chichester : Wiley,', 'Strasbourg : Council of Europe,', 'Strasbourg : Council of Europe,', 'Brussels : The Unit,', nan, 'Strasbourg : Council of Europe,', 'Strasbourg : European Committee on Crime Problems,', 'Strasbourg : Council of Europe ; London : Morgan- Grampian,', 'Strasbourg : Council of Europe,', 'West Wickham (Kent) : Published for the Council of Europe by Morgan-Grampian Books Ltd (Kent),']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","['Cell adhesion.', nan, 'European cooperation.', nan, nan, 'Prison sentences.', 'Alcoholism and crime.', 'Civil law', 'European cooperation.', 'Patents']","['Includes bibliographical references and index.', 'Issued also in French, German and Italian.', nan, 'At foot of title: Council of Europe.', 'Includes bibliographic references.', 'Presented to 7th Conference of Directors of Prison Administration', nan, 'Previous ed.: 1967', '""December 2009.""', nan]",1968.0,2009.0,10,left_only
Philip Elliotjt author Slater,"['Slater, Philip Elliot.jt. author']",['The temporary society /'],[1969.0],"['New York ; London : Harper and Row,']",['eng'],['United States'],[nan],1969.0,1969.0,1,left_only
Thomasjoint author Stanford,"['Stanford, Thomas.joint author.']","['An introduction to certain Mexican musical archives,']",[1969.0],"['Detroit, Information Coordinators,']",['eng'],['Music'],['Bibliography: p. 73-75.'],1969.0,1969.0,1,left_only
Andrew R. MacAndrew,"['MacAndrew, Andrew R.(Andrew Robert),1911-2001.']",['Great Russian short novels'],[1969.0],['New York London Bantam'],['eng'],['Russian fiction'],['Includes a novel by Aleksandr Solzhenitsyn'],1969.0,1969.0,1,left_only
Hartley Howard,"['Howard, Hartley.']",['The secret of Simon Cornell a Collins novel of suspense'],[1969.0],['London Collins'],['eng'],[nan],[nan],1969.0,1969.0,1,left_only
H. S. Bennett,"['Bennett, H. S.(Henry Stanley),1889-1972.']","['A List of his writings presented to H.S. Bennett on his eightieth birthday, 15th January 1969.']",[1969.0],"['London : Cambridge U.P.,']",['eng'],[nan],[nan],1969.0,1969.0,1,left_only
Kenneth Hardacre,"['Hardacre, Kenneth.']",['The poetry of violence : a hand-list for English readers of the novels & stories of Raymond Chandler /'],[1969.0],"[""King's Langley : K. Hardacre at the Kit-Cat Press ,""]",['eng'],"['Chandler, Raymond, 1888-1959']",[nan],1969.0,1969.0,1,left_only
Frederick George Edward Boys,"['Boys, F. G. E.(Frederick George Edward)']",['Banbury official guide.'],[1969.0],"['Cheltenham : Burrow,']",['eng'],[nan],"['""Published by authority of the Banbury Borough Council.""']",1969.0,1969.0,1,left_only
Poets Trust,['Poets Trust.'],"['Twelve to twelve poetry D-day, Camden festival, 1970']",[1970.0],['London Poets Trust'],['eng'],[nan],[nan],1970.0,1970.0,1,left_only
Lawrence Gjoint author Jones,"['Jones, Lawrence G.joint author.']","[""Shakespeare's verbal art in Th'expence of spirit.""]",[1970.0],"['The Hague : Mouton,']",['eng'],"['Shakespeare, William, 1564-1616.']",['Bibliography: p. [33]'],1970.0,1970.0,1,left_only
Stanley Weintraub,"['Weintraub, Stanley,1929-']","['Shaw an autobiography, 1898-1950: the playwright years']",[1970.0],['London Reinhardt'],['eng'],"['Shaw, Bernard, 1856-1950.']",[nan],1970.0,1970.0,1,left_only
D. R. Davies,"['Davies, D. R.(Dilwyn Roger),1918-']",['Internal audit in local authorities and hospitals'],[1970.0],['London Shaw & Sons'],['eng'],['Auditing.'],['Previous ed. 1964'],1970.0,1970.0,1,left_only
Robin Skelton,"['Skelton, Robin.', 'Skelton, Robin.']","['Collected verse translations /', 'The writings of J.M. Synge']","[1970.0, 1971.0]","['London Oxford U.P', 'London Thames and Hudson']","['eng', 'eng']","[nan, 'Synge, J. M. (John Millington), 1871-1909.']","['Includes translations of poems by Hölderlin', 'bibl p182-184']",1970.0,1971.0,2,left_only
H. A. L. Craig,"['Craig, H. A. L.']","[""Waterloo: a novel based on the screenplay by H. A. L. Craig for the Dino De Laurentiis film 'Waterloo'""]",[1970.0],['London Pan Books'],['eng'],[nan],[nan],1970.0,1970.0,1,left_only
Kenneth Ramchand,"['Ramchand, Kenneth.']",['The West Indian novel and its background'],[1970.0],['London Faber'],['eng'],['English fiction'],['bibl p274-289'],1970.0,1970.0,1,left_only
Anne Kjoint author Hedrick,"['Hedrick, Anne K.joint author.']","['Historical dictionary of Panama,']",[1970.0],"['Metuchen, N.J., Scarecrow Press,']",['eng'],[nan],['Bibliography: p. 101-105.'],1970.0,1970.0,1,left_only
Desmond Sparling Bland,"['Bland, D. S.(Desmond Sparling)']",['A guide to letter writing /'],[1970.0],"['London [etc.] : Pan Books,']",['eng'],['Letter writing.'],['Bibl. : p.206-209.'],1970.0,1970.0,1,left_only
Paul Ableman,"['Ableman, Paul.', 'Ableman, Paul.']","[""Shoestring's finest hour an original novel /"", 'The twilight of the Vilp']","[1980.0, 1971.0]","['London British Broadcasting Corporation', 'London Sphere']","['eng', 'eng']","[nan, nan]","[nan, 'Originally published, London: Gollancz, 1969']",1971.0,1980.0,2,left_only
Christopher Collins,"['Collins, Christopher.']","['The uses of observation : a study of correspondential vision in the writings of Emerson, Thoreau and Whitman /']",[1971.0],"['The Hague : Mouton,']",['eng'],"['Whitman, Walt, 1819-1892.']",[nan],1971.0,1971.0,1,left_only
Charles E. McClelland,"['McClelland, Charles E.', 'McClelland, Charles E.']","['State, society and university in Germany, 1700-1914', 'The German historians and England a study in nineteenth-century views']","[1980.0, 1971.0]","['Cambridge Cambridge University Press', 'London Cambridge University Press']","['eng', 'eng']","['Universities and colleges', nan]","['Bibliography: p.358-373. - Includes index', 'bibl p257-294']",1971.0,1980.0,2,left_only
Olga Shmidt,"[""Shmidt, Ol'ga.""]",['Neizvestnyj poet P. D. Buturlin : analiz tvorcestva.'],[1971.0],"['Munchen : O. Sagner,']",['rus'],"['Buturlin, Petr Dmitrievich, 1859-1895.']",['Bibliography: p.213-217.'],1971.0,1971.0,1,left_only
International Association for Cultural Freedom,['International Association for Cultural Freedom.'],['An anthology of Bengali writing /'],[1971.0],['Bombay Macmillan Co. of India'],['eng'],['English literature'],[nan],1971.0,1971.0,1,left_only
Susunaga Weeraperuma,"['Weeraperuma, Susunaga.']",['The role of conferences in the further education of librarians a scrutiny of the present situation with proposals for reform'],[1971.0],"['London Poets and Painters Press [London (17 Regent Sq., W.C.1)] [Distributed by Mr S. Weeraperuma]']",['eng'],['Library conferences.'],[nan],1971.0,1971.0,1,left_only
John Bowden,"['Bowden, John,1951-', 'Bowden, John.', 'Bowden, John.']","['Writing a report : how to prepare, write and present effective reports /', 'Karl Barth', 'Hans Küng : new horizons for faith and thought /']","[2002.0, 1971.0, 1993.0]","['Oxford : How To Books,', 'London S.C.M. Press', 'London : SCM,']","['eng', 'eng', 'eng']","['Report writing.', 'Barth, Karl, 1886-1968.', nan]","['Bibliography: p.167-168. - Includes index.', 'bibl p121', nan]",1971.0,2002.0,3,left_only
Silvia Barry Sutton,"['Sutton, S. B.(Silvia Barry)']","[""Civilizing American cities a selection of Frederick Law Olmsted's writings on city landscapes""]",[1971.0],['Cambridge (Mass.) London M.I.T. Press'],['eng'],['Parks'],[nan],1971.0,1971.0,1,left_only
John Roberts,"['Roberts, John,1929-', 'Roberts, John,1923-']","['A review of studies of sport & recreation in the inner city', 'Tales of young writers /']","[1978.0, 1971.0]","['London Sports Council', 'London Blackie']","['eng', 'eng']","['Cities and towns', 'Readers']","['Bibliography: p.49-71. - Includes index', nan]",1971.0,1978.0,2,left_only
Michael Bell,"['Bell, Michael,1941-', 'Bell, Michael,1941-']","['Primitivism', 'The Cambridge companion to European novelists /']","[1972.0, 2012.0]","['London Methuen', 'Cambridge : Cambridge University Press,']","['eng', 'eng']","['English literature', 'European fiction']","['ISBN 0 416 07900 8 Pbk: £0.45', '""A lively and comprehensive account of the whole tradition of European fiction for students and teachers of comparative literature, this volume covers twenty-five of the most significant and influential novelists in Europe from Cervantes to Kundera. Each essay examines an author\'s use of, and contributions to, the genre and also engages an important aspect of the form, such as its relation to romance or one of its sub-genres, such as the Bildungsroman. Larger theoretical questions are introduced through specific readings of exemplary novels. Taking a broad historical and geographic view, the essays keep in mind the role the novel itself has played in the development of European national identities and in cultural history over the last four centuries. While conveying essential introductory information for new readers, these authoritative essays reflect up-to-date scholarship and also review, and sometimes challenge, conventional accounts""--']",1972.0,2012.0,2,left_only
M. Gastaldo,"['Gastaldo, M.']",['Prosperi Aquitani opera.'],[1972.0],"['Turnholti :  Typographi Brepols Editores Pontificii, ']",['lat'],[nan],[nan],1972.0,1972.0,1,left_only
Geoffrey HandleyTaylor,"['Handley-Taylor, Geoffrey.']","['Yorkshire authors today being a checklist of authors born in Yorkshire, together with brief particulars of authors born elsewhere who are currently working or residing in the county - an assemblage of more than 700 authors together with their addresses and (where applicable) their pseudonyms']",[1972.0],['London Eddison Press Ltd'],['eng'],"['Authors, English']",[nan],1972.0,1972.0,1,left_only
Christopher Short,"['Short, Christopher,1913-1978.']",['The blue-eyed boy a novel of suspense'],[1972.0],['London Tom Stacey Ltd'],['eng'],[nan],"['Originally published, New York: Dodd, Mead, 1966']",1972.0,1972.0,1,left_only
LaoziTao te ching,['Laozi.Tao te ching.'],['Psychedelic prayers after the Tao Te Ching'],[1972.0],['London Academy Editions'],['eng'],[nan],"['Originally published: Kerhonkson, N.Y. : Poets Press, 1966']",1972.0,1972.0,1,left_only
Barry Rowe,"['Rowe, Barry.']","['Read, write and remember']",[1972.0],"['Glasgow Blackie,']",['eng'],['Readers'],[nan],1972.0,1972.0,1,left_only
Robert Sjoint author Getz,"['Getz, Robert S.joint author.']",['Contemporary American Government: problems and prospects'],[1972.0],"['New York ; London : Van Nostrand Reinhold Co.,']",['eng'],[nan],['Bibliography: p. 823-831.'],1972.0,1972.0,1,left_only
John Watters,"['Watters, John.']",['Cobol programming a complete course in writing Cobol programs'],[1972.0],['London Heinemann Educational'],['eng'],['Electronic digital computers'],['Includes index'],1972.0,1972.0,1,left_only
Sharon Bouchard,"['Bouchard, Sharon.']",['The art of writing effective letters /'],[1972.0],"['New York : McGraw-Hill Book Co.,']",['eng'],['English language'],[nan],1972.0,1972.0,1,left_only
Open University,"['Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.', 'Open University.']","['Elements of music.', ""'Miss Julie' and 'The ghost sonata'"", 'Personality, development and learning educational issues', 'Physical chemistry principles of chemical change', 'Graphs, networks and design', 'Demand and consumers', 'Doing your research project : a guide for first-time researchers in education and social science /', 'Stratification and social class', ""'The Bacchae' and 'Macbeth'"", 'Personality and learning', 'Statistics in society', 'The Earth structure, composition and evolution', 'Environmental control and public health concepts and terminology', 'Statistical sources', 'Popular culture', 'The Nineteenth century novel and its legacy', 'Personality, development and learning', 'People in the electronic age', 'Social sciences a foundation course', 'Introductory electronics', 'Management in post-compulsory education', 'Management in post-compulsory education', 'Mathematical models and methods', 'Boundaries of adult learning /', 'Art nouveau, 1890-1902 /', 'Athenian social history', 'Electromagnetism', 'Modern art and modernism Manet to Pollock', 'An Introduction to sociology', 'An Introduction to sociology', 'Conflict and change in education a sociological introduction', 'Conflict and change in education : a sociological introduction.', 'Mathematical methods and fluid mechanics', 'Policy-making in education documents for modules 1 and 2', 'Using the electronic TMA system : a guide to eTMAs for students.', 'An Introduction to calculus prepared by the course team', '1918-39', 'Philosophical problems', 'Modern art and modernism Manet to Pollock', 'Purpose and planning in the curriculum', 'An ageing population', 'Mathematics across the curriculum a second level course', 'Business', 'Contemporary modernism / prepared by Trevor Bray and Richard Middleton for the [Open University] Course Team. The meaning of modernism / prepared by Richard Middleton for the [Open University] Course Team', 'Curriculum evaluation and assessment in educational institutions', 'Purpose and planning in the curriculum', ""'Race', culture and difference /"", 'Health & inequality', 'Twentieth century poetry', 'W.H. Auden', 'The varied scene aspects of drama today', 'Popular culture', 'An Introduction to sociology conformity and opposition', 'Social sciences a foundation course', 'Dylan Thomas', '1789-1870', 'Romantic poetry', 'Integration', 'Software engineering analysis and design', 'Art in fifteenth-century Italy', 'English urban history 1500-1780.', 'Historical maps', 'Higher education', 'Popular culture', 'Language in use', 'Conflict and change in education a sociological introduction', 'What is genetics? ; [and], Chromosomes and genes']","[1976.0, 1977.0, 1985.0, 1985.0, 1981.0, 1973.0, nan, 1972.0, 1976.0, 1982.0, 1983.0, 1981.0, 1985.0, 1981.0, 1982.0, 1982.0, 1985.0, 1978.0, 1986.0, 1980.0, 1984.0, 1984.0, 1982.0, 1996.0, 1975.0, 1979.0, 1980.0, 1983.0, 1983.0, 1983.0, 1984.0, 1984.0, 1984.0, 1986.0, 2004.0, 1979.0, 1980.0, 1980.0, 1983.0, 1983.0, 1978.0, 1980.0, 1972.0, 1979.0, 1982.0, 1983.0, 1992.0, 1976.0, 1976.0, 1975.0, 1977.0, 1981.0, 1980.0, 1982.0, 1976.0, 1980.0, 1984.0, 1976.0, 1989.0, 1986.0, 1977.0, 1979.0, 1979.0, 1981.0, 1981.0, 1984.0, 1976.0]","['[Milton Keynes] : Open University Press,', 'Milton Keynes Open University Press', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', '[Milton Keynes] Open University Press', nan, 'Bletchley Open University Press', 'Milton Keynes Open University Press', 'Milton Keynes Open University Press,', 'Milton Keynes The Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes The Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'London : Routledge in association with The Open University,', 'Milton Keynes Open University Press', 'Milton Keynes Open University Press', 'Open University,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', '[Milton Keynes] : The Open University,', 'Milton Keynes Open University,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Sevenoaks Hodder and Stoughton', 'Milton Keynes Open University Press,', 'Bletchley Open University Press', 'Milton Keynes Open University Press', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'London : Sage Publications in association with Open University,', 'Milton Keynes Open University Press', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press', '[Milton Keynes] [Open University Press]', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press', 'London McGraw-Hill', '[Milton Keynes] [Open University Press],', 'Milton Keynes Open University Press', '[Milton Keynes] [Open University Press]', 'Milton Keynes Open University Press', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press,', 'Milton Keynes Open University Press']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, 'Strindberg, August, 1849-1912.', nan, 'Chemical reactions.', 'Graph theory.', 'Consumers.', 'Independent study.', 'Social classes.', 'Shakespeare, William, 1564-1616.', 'Personality in children.', 'Mathematical statistics.', nan, nan, nan, nan, 'English fiction', nan, 'Computers and civilization.', 'Social sciences.', 'Electronic apparatus and appliances.', 'Universities and colleges', 'Universities and colleges', 'Mathematical models.', 'Adult education.', 'Art nouveau.', nan, 'Electromagnetism.', nan, 'Sociology.', 'Sociology.', 'Educational sociology.', 'Educational sociology.', 'Fluid mechanics', 'School management and organization', nan, 'Calculus.', nan, 'Philosophy.', 'Pollock, Jackson, 1912-1956.', nan, 'Older people.', 'Mathematics', 'Business enterprises.', 'Music', 'Curriculum evaluation.', nan, nan, 'Equality.', nan, 'Auden, W. H. (Wystan Hugh), 1907-1973.', 'English drama', nan, 'Sociology.', nan, 'Thomas, Dylan, 1914-1953', nan, 'Romanticism.', 'Numerical integration.', 'Computer software', 'Art, Renaissance', 'City and town life', 'Religions', 'Universities and colleges', nan, 'Language and languages.', 'Educational sociology.', 'Genetics.']","['At head of title: The Open University', 'Bibliography: p.34', 'At head of title: the Open University', 'Text on inside covers', 'Cover title', 'Includes bibliographies', 'Includes bibliographical references and index.', 'Includes bibliographies', 'Includes bibliographies', 'Bibliography: p60-63', 'Contents: Unit B3: Education, does sex matter', 'At head of title: The Open University', 'At head of title: The Open University', 'Bibliography: p94-96', 'Contents: Introduction to block 6 - Unit 24: The rock music industry - Unit 25: The image and mass reproduction', 'Bibliography: p37', 'At head of title: the Open University', 'ISBN 0-335-01492-5', 'Contents: Introduction - Unit 14: Why do people accept the authority of the state - Unit 15: Democracy and popular participation', 'At head of title: The Open University', 'At head of title: The Open University', 'Contents: Introduction to Block 5 - Pt. 1 Careers and patterns - Pt. 2 Staff selection - Pt. 3 Employees relations - Pt. 4 Staff development - Pt. 5 The staff appraisal interview - Pt. 6 Conclusion', 'At head of title: The Open University', 'Includes bibliographies and index', nan, 'Bibliography: p.75-77', ""Contents: Units 13/14. Maxwell's equations and electromagnetic waves - Unit 15. Electromagnetic waves : boundaries - Unit 16. Electromagnetic waves : media"", 'Bibl', 'Bibliography: p43-45', 'Bibliography: p37-38', 'Bibliography: p39-43', 'At head of title: The Open University', 'At head of title: The Open University', 'At head of title: The Open University', '""SUP842179 ... v.7.""', 'Contents: Unit 2 : Differentiation in action', nan, 'Bibliography: p50', 'Bibl', 'Bibl', 'ISBN 0-340-23373-7 Pbk : £3.25', 'At head of title: The Open University', 'Includes bibliographies', 'Bibliography: p.75', 'Bibliography: p40', 'Bibl', nan, 'Bibliography: p.37-38', 'At head of title: The Open University', 'Bibliography: p.54-55', 'Includes bibliographies', 'Contents: Introduction to block 5 - Unit 18: Popular culture and hegemony in post-war Britain - Unit 19: Pop culture, pop music and post-war youth : subcultures - Unit 20: Pop culture, pop music and post-war youth : countercultures', 'Bibliography: p44-45', 'Contents: Introduction to Block 6: a geographical case study; Unit 23: Growth, welfare and conflict', 'Bibliography: p.37', nan, 'Bibliography: p63-64', nan, 'Includes bibliography and index', 'Cover title', 'Contents: Unit 5: The economic and social structure / by Charles Phythian-Adams - Unit 6: Political organization in the sixteenth-century town / by Kevin Wilson - Unit 7: The cultural function of the traditional town / by Peter Clark - Unit 8: The cultural role of towns in the late sixteenth and seventeenth centuries / Peter Clark', 'Prepared for the Open University Course Team. - Eleven sheets (1 fold.) (12 sides : chiefly maps(chiefly col.))', 'Bibliography: p.78-79', 'Contents: Introduction to block 3 - Unit 9: Approaches to the study of everyday life - Unit 10: Leisure activities : home and neighbourhood', 'Contents: Part I: The development of social views of language - Part II: Language and social reality - Part III: Linguistic and social determinism', 'At head of title: The Open University', 'Bibliography: p.110']",1972.0,2004.0,67,left_only
Open UniversityNineteenthCentury Novel and its Legacy Course Team,['Open University.Nineteenth-Century Novel and its Legacy Course Team.'],['James Joyce'],[1973.0],['Milton Keynes Open University Press'],['eng'],"['Joyce, James, 1882-1941.']",['Bibliographyp.43'],1973.0,1973.0,1,left_only
David Widdicombe,"['Widdicombe, David.', 'Widdicombe, David.']","['The Conduct of local authority business', 'Compensation for compulsory acquisition and remedies for planning restrictions together with a supplemental report a JUSTICE report /']","[1986.0, 1973.0]","['HMSO', 'London Stevens']","['eng', 'eng']","[nan, 'City planning and redevelopment law']","[nan, 'Previous ed. 1969']",1973.0,1986.0,2,left_only
Margaret Drabble,"['Drabble, Margaret,1939-', 'Drabble, Margaret,1939-']","['The millstone', 'The middle ground : a novel /']","[1973.0, 1980.0]","['Bath Chivers', 'London : Weidenfeld and Nicolson,']","['eng', 'eng']","[nan, 'English fiction.']","['Originally published: London : Weidenfeld and Nicolson, 1965', nan]",1973.0,1980.0,2,left_only
Micheljoint author Gilot,"['Gilot, Michel.joint author.']","['Marivaux; un humanisme expérimental,']",[1973.0],"['Paris, Larousse']",['fre'],['Humanism in literature.'],['Bibliography: p. 275-280.'],1973.0,1973.0,1,left_only
Local Government Training Board,"['Local Government Training Board.', 'Local Government Training Board.', 'Local Government Training Board.', 'Local Government Training Board.', 'Local Government Training Board.', 'Local Government Training Board.', 'Local Government Training Board.']","[""'Excellence' and local government ideas for discussion"", ""'Tuning in' training for housing interviewers"", ""A role playing introduction to the rate-making process in a shire county : tutor's material : original exercise written and developed by J. Henry /"", 'Counselling a programme for supervisors involved in counselling young people at work', '[Miscellaneous handbooks] /', 'The Contribution of local government to local economic development : a discussion document.', 'Local authorities interests in companies : legislation and implications.']","[1985.0, 1984.0, 1978.0, 1984.0, 1973.0, 1986.0, 1990.0]","['Luton The Board', 'Luton The Board', '[England?] : Local Government Training Board,', 'Luton Local Government Training Board', 'Luton : Local Government Training Board,', '[Luton] : [Local Government Training Board],', 'Luton : Local Government Training Board,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","['Local government', 'Housing authorities', nan, 'Youth', 'Supervision of employees', 'Local government', nan]","['Cover title', nan, 'Cover title.', nan, 'Cover title', 'Cover title.', nan]",1973.0,1990.0,7,left_only
Robert L. Shurter,"['Shurter, Robert L.(Robert LeFevre),1907-']","['The utopian novel in America, 1865-1900,']",[1973.0],"['New York, AMS Press']",['eng'],['Utopias in literature.'],['Bibliography: p. 286-302.'],1973.0,1973.0,1,left_only
Tate Wilkinson,"['Wilkinson, Tate.']","['The wandering patentee; or, A history of the Yorkshire theatres, from 1770 to the present time ...']",[1973.0],['Menston Scolar Press'],['eng'],['Theater'],"['Facsimile reprint of 1st ed., York: Printed for the author by Wilson, Spence, and Mawman, 1795']",1973.0,1973.0,1,left_only
Sigurdjoint author Mohlenbrock,"['Möhlenbrock, Sigurd.joint author.']","['Svenska bibliotek. Historia, organisation, funktion. En översikt,']",[1973.0],"['Lund, Bibliotekstjänst,']",['swe'],['Libraries'],['Includes bibliographies.'],1973.0,1973.0,1,left_only
Lois Cox,"['Cox, Lois.']",['Ten modern New Zealand poets /'],[1974.0],"['Auckland : Longman Paul,']",['eng'],['New Zealand poetry'],['Includes index.'],1974.0,1974.0,1,left_only
