author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,_merge
Isaac Woungang,"['Woungang, Isaac.editor.edthttp://id.loc.gov/vocabulary/relators/edt']",['Information Security Practices [electronic resource] : Emerging Threats and Perspectives /'],[nan],[nan],['eng'],['Biometrics.'],"['This book introduces novel research targeting technical aspects of protecting information security and establishing trust in the digital space. New paradigms, and emerging threats and solutions are presented in topics such as application security and threat management; modern authentication paradigms; digital fraud detection; social engineering and insider threats; cyber threat intelligence; intrusion detection; behavioral biometrics recognition; hardware security analysis. The book presents both the important core and the specialized issues in the areas of protection, assurance, and trust in information security practice. It is intended to be a valuable resource and reference for researchers, instructors, students, scientists, engineers, managers, and industry practitioners. .']",,,,left_only
Isabelle Sandy,"['Sandy, Isabelle.']",['Andorra: a novel /'],[1925.0],"['London, ']",['eng'],[nan],[nan],,,,left_only
Isobel Kai-Hui Wang,"['Wang, Isobel Kai-Hui.author.authttp://id.loc.gov/vocabulary/relators/aut']",['Learning Vocabulary Strategically in a Study Abroad Context [electronic resource] /'],[nan],[nan],['eng'],['Semantics.'],"['This book focuses on case studies of vocabulary strategy use and presents an in-depth account of the vocabulary learning experiences of Chinese students in the UK. It challenges the view that vocabulary strategies result only from learners’ cognitive choices, and provides insightful analysis of the interplay between learner characteristics, agency and context in the process of strategic learning. The author makes a strong case for using qualitative methodologies to examine the dynamic, complex and contextually situated nature of strategic vocabulary learning. Drawing on multiple data sources, the book discusses issues that are central to the continuing development of vocabulary strategy research and offers theoretical, research-based and practical suggestions for future exploration. This book will appeal to students and scholars of second language acquisition, vocabulary and applied linguistics.']",,,,left_only
Isobel Murray,"['Murray, Isobel.']",['Scottish novels of the Second World War /'],[2011.0],"['Edinburgh : WP Books,']",['eng'],"['World War, 1939-1945']",['Includes bibliographical references (p. [165]-172).'],,,,left_only
Ivor F. Goodson,"['Goodson, Ivor F.,editor.', 'Goodson, Ivor F.']","['Negotiating Neoliberalism : Developing Alternative Educational Visions /', ""Teachers' lives and careers""]","[nan, 1985.0]","[nan, 'London Falmer']","['eng', 'eng']","['Neoliberalism.', 'Teachers']","[""\\'An unashamedly polemic book, who’s perspective can help all of us, regardless of our own position, to reflect on, re-examine, and understand education systems globally, and our opportunities to influence their future. . . . The editors offer us a framework for educational research of Five Rs - remembering, regression, reconceptualization, refraction, and renewal - but ask us also to look for instances of resistance (their italics). \\'— John Galloway on the Mirandanet network \\'This material is valuable. . . especially for academics and dedicated higher education students. \\'— Personalized Education Now Following the financial crises in 2007, we have seen the intensification of neoliberal policies in education, with radical and potentially irrevocable shifts in the educational landscape, promoted under the auspices of ‘austerity’. This book highlights the central features of neoliberal education policies, their origins, recent developments and also their inherent weaknesses and flaws. It provides insights into the day to day realities and negative impacts of recent policies on the professional practice and work of educators, demonstrating how the changing conditions have led to de-professionalisation, alienation and a loss of professional autonomy and identity. The book also provides a set of accounts that detail the new realities emerging as a result of ‘austerity’ policies and questions the degree to which austerity has actually been developed as an ideological ‘cover story’ for the further monetisation and privatisation of public services. The various chapters challenge the common assumption that the neoliberal project is a monolithic orthodoxy by highlighting its complexities, variations and contradictions in the ways policies are refracted through action and practice in different contexts. The book also challenges the common assumption that there are no viable alternatives to neoliberal education policies, and does so by presenting a range of different examples, theoretical perspectives, discourses and alternative practices. It is argued that such alternatives not only highlight the range of different approaches, choices and possibilities but also provide the seedbed for a reimagined educational future. The authors offer a range of conceptual and theoretical insights and analyses that highlight the weaknesses and limitations inherent within the neoliberal education project and also illustrate the dangers in following the prevailing hegemonic discourse and trajectories. It is postulated that alternative educational approaches warrant greater and urgent attention because history suggests that rather than having weathered the recent economic crisis, we may well be witnessing the long tail of decline for the neoliberal project. This book will be useful for educators, researchers, students and policy makers interested in the detrimental effects of neoliberal education, the range of viable alternatives, and the routes to resistance and ways of reimagining alternative educational futures."", 'Includes bibliographies and index']",,,,left_only
J. A. Ferguson,"['Ferguson, J. A.']","['The star reciter: a collection of prose and poetical gems, grave and gay, from British & American authors /']",[1873.0],"['Manchester, ']",['eng'],[nan],[nan],,,,left_only
J. F. Wallwork,"['Wallwork, J. F.']",['Language and linguistics an introduction to the study of language'],[1985.0],['Heinemann Educational'],['   '],[nan],[nan],,,,left_only
J. HMrs Riddell,"['Riddell, J. H.,Mrs.,1832-1906,author.', 'Riddell, J. H.,Mrs.,1832-1906.']","[""The earl's promise : a novel /"", 'The mystery in Palace Gardens. A novel.']","[nan, 1880.0]","[nan, 'London,']","['eng', 'eng']","[nan, nan]","[nan, nan]",,,,left_only
J. Henry Capes,"['Capes, J. Henry.']","['Handbook for school attendance officers, child employment and other officers of the local education authority.']",[1939.0],"['London, ']",['eng'],[nan],"['Joint authors: John Stevenson, Chief Superintendent of School Attendance Officers, Birmingham Education Authority and J. Henry Capes.']",,,,left_only
J. John Taber,"['Taber, J. John.editor.edthttp://id.loc.gov/vocabulary/relators/edt']",['Interdisciplinary Teaching About Earth and the Environment for a Sustainable Future [electronic resource] /'],[nan],[nan],['eng'],['Biogeosciences.'],"['Interdisciplinary Teaching about the Earth and Environment for a Sustainable Future presents the outcomes of the InTeGrate project, a community effort funded by the National Science Foundation to improve Earth literacy and build a workforce prepared to tackle environmental and resource issues. The InTeGrate community is built around the shared goal of supporting interdisciplinary learning about Earth across the undergraduate curriculum, focusing on the grand challenges facing society and the important role that the geosciences play in addressing these grand challenges. The chapters in this book explicitly illustrate the intimate relationship between geoscience and sustainability that is often opaque to students. The authors of these chapters are faculty members, administrators, program directors, and researchers from institutions across the country who have collectively envisioned, implemented, and evaluated effective change in their classrooms, programs, institutions, and beyond. This book provides guidance to anyone interested in implementing change—on scales ranging from a single course to an entire program—by infusing sustainability across the curriculum, broadening access to Earth and environmental sciences, and assessing the impacts of those changes. .']",,,,left_only
J. KorthalsAltes,"['Korthals-Altes, J.']",['Sir Cornelius Vermuyden: the lifework of a great Anglo-Dutchman in land-reclamation and drainage: with some notes by the author on the present condition of drainage in England ...'],[1925.0],"['London & The Hague,']",['eng'],[nan],[nan],,,,left_only
J. M. D. Meiklejohn,"['Meiklejohn, J. M. D.(John Miller Dow),1830-1902.', 'Meiklejohn, J. M. D.(John Miller Dow),1830-1902.']","['A short grammar of the English tongue with three hundred and thirty exercises.', 'The art of writing English : a manual for students : with chapters on paraphrasing, essay-writing, précis-writing, punctuation, and other matters /']","[1890.0, 1916.0]","['London,', 'London : Meiklejohn & Son,']","['eng', 'eng']","[nan, 'English language']","[nan, nan]",,,,left_only
J. M. Scott,"['Scott, J. M.(James Maurice),1906-1986.']",['Sea-Wyf and Biscuit. [A novel based on the war-time experiences of three men and a woman adrift for fourteen weeks on a float in the Indian Ocean.]'],[1955.0],"['London,']",['eng'],[nan],[nan],,,,left_only
J. Page,"['Page, J., Author of How to Vote at the Next Election.']",['How to vote at the next election. A voice to the people from one of them.'],[1884.0],"['London, ']",['eng'],[nan],[nan],,,,left_only
J. W. Peck,"['Peck, J. W.(James Wallace),1875-1964.']",['The organisation of education in Edinburgh : prepared and issued under the authority of the Board of 21st November 1910 /'],[1910.0],"['Edinburgh : The Board,']",['eng'],['Education'],[nan],,,,left_only
J. Wakelin,"['Wakelin, J.']","['The happy state of believers immediately after death: being an inquiry concerning the nature, state and happiness of the souls of true believers after quitting the body. ... To which is added, Divine grace displayed. A poem. By J. W. Author of the Evening Conference of Christ and Nicodemus.']",[1787.0],"['London : printed by H. Trapp for J. Wakelin, also sold by J. Dodd,']",['eng'],[nan],['ESTC'],,,,left_only
J. William Miller,"['Miller, J. William.']",['Modern playwrights at work.'],[1968.0],"['New York ; London : French,']",['eng'],['Drama.'],['Includes bibliography (p. 543-547) and index.'],,,,left_only
JJames Hodson,"['Hodson, J.James.']","['A catechism on the Christian name, and the nature of the baptismal vow. By J. Hodson, ...']",[1797.0],"['London : printed for the Author by E. Hodson; sold by J. Mathews; Deighton, Cambridge, and Clarke, Manchester,']",['eng'],[nan],['ESTC'],,,,left_only
JT Merle,"['Merle, J.T.']",['Grammaire espagnole de Port-Royal; ...'],[1808.0],"[""Paris, Léopold Collin, libraire, ... de l'imprimerie de Valade.""]",['fre'],['Spanish language'],['The edition statement precedes the author statement'],,,,left_only
Jaap van Marle,"['Marle, Jaap van.editor.edthttp://id.loc.gov/vocabulary/relators/edt']",['Yearbook of Morphology 2005 [electronic resource] /'],[nan],[nan],['eng'],['Computational Linguistics.'],"['A revival of interest in morphology has occurred during recent years. The periodical Yearbook of Morphology, published since 1988, has proven to be an eminent support for this upswing of morphological research, and has shown that morphology is central to present-day linguistic theorizing. In the Yearbook of Morphology 2005 a number of important theoretical issues are discussed: the role of inflectional paradigms in morphological analysis, the differences between words and affixes, and the adequacy of competing models of word structure. In addition, the role of phonological factors in shaping complex words is discussed. Evidence for particular positions defended in this volume is taken from a wide variety of languages. This volume is of interest to those working in theoretical, descriptive and historical linguistics, morphologists, phonologists, computational linguists, and psycholinguists. Beginning with Volume 16 (2006) the Yearbook of Morphology continues as a journal with the title: Morphology. This is the only journal entirely devoted to the study of linguistic morphology. The journal is available online as well as in print. Visit the journal at: www.springer.com/11525 or click on the link in the top right hand corner.']",,,,left_only
Jacek Kossut,"['Kossut, Jacek.editor.edthttp://id.loc.gov/vocabulary/relators/edt']",['Introduction to the Physics of Diluted Magnetic Semiconductors [electronic resource] /'],[nan],[nan],['eng'],"['Engineering, general.']","['The book deals with diluted magnetic semiconductors, a class of materials important to the emerging field of spintronics. In these materials semiconducting properties, both transport and optical, are influenced by the presence of magnetic ions. It concentrates on basic physical mechanisms (e.g. carrier-ion and ion-ion interactions) and resulting phenomena (e.g. magnetic polaron formation and spin relaxation). Introduction to the Physics of Diluted Magnetic Semiconductors is addressed to graduate-level and doctoral students and young researchers entering the field. The authors have been actively involved in the creation of this branch of semiconductor physics.']",,,,left_only
Jack Lindsay,"['Lindsay, Jack,1900-1990.', 'Lindsay, Jack,1900-1990.', 'Lindsay, Jack,1900-1990.']","['Despoiling Venus.', 'Our Anglo-Saxon heritage. [With illustrations, including maps.]', 'We shall return. A novel of Dunkirk and the French campaign.']","[1935.0, 1965.0, 1942.0]","['London,', 'London,', 'London,']","['eng', 'eng', 'eng']","[nan, nan, nan]","[nan, nan, nan]",,,,left_only
JackConversations Selzer,"['Selzer, Jack.Conversations.']","[""Instructor's manual for Selzer : conversations, readings for writing /""]",[2000.0],"['Boston ; London : Allyn and Bacon,']",['eng'],['Report writing'],[nan],,,,left_only
Jakob Stix,"['Stix, Jakob.editor.edthttp://id.loc.gov/vocabulary/relators/edt']",['The Arithmetic of Fundamental Groups [electronic resource] : PIA 2010 /'],[nan],[nan],['eng'],['Topology.'],"[""In the more than 100 years since the fundamental group was first introduced by Henri Poincaré it has evolved to play an important role in different areas of mathematics. Originally conceived as part of algebraic topology, this essential concept and its analogies have found numerous applications in mathematics that are still being investigated today, and which are explored in this volume, the result of a meeting at Heidelberg University that brought together mathematicians who use or study fundamental groups in their work with an eye towards applications in arithmetic. The book acknowledges the varied incarnations of the fundamental group: pro-finite, ℓ-adic, p-adic, \xa0pro-algebraic and motivic. It explores a wealth of topics that range from anabelian geometry (in particular the section conjecture), the ℓ-adic polylogarithm, gonality questions of modular curves, vector bundles in connection with monodromy, and relative pro-algebraic completions, to a motivic version of Minhyong Kim's non-abelian Chabauty method and p-adic integration after Coleman. The editor has also included the abstracts of all the talks given at the Heidelberg meeting, as well as the notes on Coleman integration and on Grothendieck's fundamental group with a view towards anabelian geometry taken from a series of introductory lectures given by Amnon Besser and Tamás Szamuely, respectively.""]",,,,left_only
James Beattie,"['Beattie, James,1735-1803.', 'Beattie, James,1735-1803.', 'Beattie, James,1735-1803.', 'Beattie, James,1735-1803.', 'Beattie, James,1735-1803.']","['The minstrel; or, The progress of genius. With some other poems.', 'The poems of James Beattie, LL.D., Robert Blair, and Michael Bruce. With lives of the authors and a portrait of Dr. Beattie.', 'An essay on the nature and immutability of truth ...', 'An essay on the nature and immutability of truth, in opposition to sophistry and scepticism', 'Scoticisms, arranged in alphabetical order, designed to correct improprieties of speech and writing. By James Beattie, ...']","[1802.0, 1823.0, 1810.0, 1823.0, 1797.0]","['New York, ', 'Edinburgh : J. Anderson, jun.,', 'London, ', 'London W. Baynes', 'Edinburgh : printed for the booksellers,']","['eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, 'Skepticism.', nan]","[nan, 'The cover is dated 1824.', nan, nan, 'ESTC']",,,,left_only
James Churchill,"['Churchill, James,active 1762.']","['A poem, on the merchants new-beautifying the statue of King Charles the IId. Royal-Exchange. With many historical remarks to George I. By the author of the True Briton.']",[1762.0],"['London : printed for T. Hope,']",['eng'],[nan],['ESTC'],,,,left_only
James Douglas,"['Douglas, James,Lord.', 'Douglas, James,of Cavers.', 'Douglas, James.', 'Douglas, James,1753-1819.']","['Royal Angus. A novel.', 'The advancement of society in knowledge and religion ...', ""A letter to the editor of the Christian repository on the review of Mr. Mason's sermons"", 'Discourses on the influence of the Christian religion in civil society By the Rev. James Douglas, ...']","[1882.0, 1830.0, 1821.0, 1792.0]","['London, ', 'Edinburgh :  A. Balfour & Co. for A. Black, ', 'Paisley Printed and sold by S. Young', 'London : printed by J. Nichols, for T. Cadell,']","['eng', 'eng', 'eng', 'eng']","[nan, nan, 'Mason Mr.', nan]","[nan, nan, 'Cover title', 'ESTC']",,,,left_only
James Grieve,"['Grieve, James,in Bunanhill.aut']","['Ans. A. Anderson & J. Grieve, to pet. Mrs A. E. Jankowska. H. Corrie, W.S. agent. Ms. Answers for Andrew Anderson in Hopehouse, and James Grieve in Bunanhill, heirs-portioners served and retoured to the deceased James-Tamesz Grieve, sometime merchant in Moscow, afterwards of Petersham, in the county of Surrey, Esq; to the petition of Mrs Anne-Elisabeth Jankouska, relict of the said James-Tamesz Grieve, Esq; now spouse to John Jackson, Esq; of Golden-Square, London; the said John Jackson for his interest, and Alexander Young writer to the Signet, their attorney.']",[1791.0],"['[Edinburgh,']",['eng'],[nan],['ESTC'],,,,left_only
James Keill,"['Keill, James,1673-1719.', 'Keill, James,1673-1719.']","['Tentamina medico-physica, ad quasdam quæstiones, quæ oeconomiam animalem spectant, accommodata. Quibus accessit Medicina statica Britannica. Authore Jacobo Keill, ...', ""The anatomy of the human body abridg'd: or, a short and full view of all the parts of the body. Together with their several uses drawn from their compositions and structures. By James Keill, M.D.""]","[1718.0, 1738.0]","['Londini : apud Geo. Strahan; & W. & J. Innys,', 'London : printed for John Clarke,']","['lat', 'eng']","[nan, nan]","['ESTC', 'ESTC']",,,,left_only
James L. Galbraith,"['Galbraith, James L.(James Lachlan),1860-1923.']",['Tales of a grandmother.'],[1909.0],"['Glasgow : Published for the author by J. MacLehose and Sons,']",['eng'],[nan],"['Library copy inscribed: ""C.J.S. Murray from J.L. Galbraith, 1909.""']",,,,left_only
James Ludovic LindsayEarl of Crawford,"['Crawford, James Ludovic Lindsay,Earl of,1847-1913.']",['Bibliotheca Lindesiana. Hand list to the early editions of the Greek and Latin writers of ancient and mediaeval times. To which are added a few of the rarer vocabularies and grammars of those languages.'],[1885.0],"['[London],']",['eng'],[nan],['A presentation copy.'],,,,left_only
James M. Magrini,"['Magrini, James M.,author.']","['Social efficiency and instrumentalism in education : critical essays in ontology, phenomenology, and philosophical hermeneutics /']",[nan],[nan],['eng'],['Ontology.'],"['""Distinct among contemporary philosophical studies focused on education, this book engages the history of phenomenological thought as it moves from philosophy proper (the European phenomenological-hermeneutic tradition) through curriculum studies. It thus presents the ""best of both worlds"" for the reader; there is a ""play"" or movement from philosophy proper to educational philosophy and then back again in order to locate and explicate what is intimated, suggested, and in some cases, left ""unsaid"" by educational philosophers. This amounts to a work on education-philosophy that elucidates, through various permutations within the unique foci of each essay, the general phenomenological theme of the fundamental ontology of the human being as primordial learner. Reflecting his experience as scholar, teacher, and perennial learner, the author suggests how research in phenomenology might prove beneficial to the enhancement of both the theoretical and practical aspects of education; readers are invited to envision education as far more than merely a means by which to organize an effective learning experience in which knowledge is assimilated and skill sets are efficiently imparted, but rather as a holistic and integrated process in which knowing, acting, and valuing are original ways of Being-in-the-world""--']",,,,left_only
James McFadzean,"['McFadzean, James.']","[""Unto the Right Honourable, the Lords of Council and Session, the petition for James M'Fadzean writer in Edinburgh, factor appointed by the Lords for uplifting the rents of certain houses, which belonged to Richard Houison and John Antonious wright in Edinburgh, ...""]",[1734.0],"['[Edinburgh,']",['eng'],[nan],['ESTC'],,,,left_only
James Peirce,"['Peirce, James,1673-1726.', 'Peirce, James,1673-1726.', 'Peirce, James,1673-1726.']","['The case of the ministers ejected at Exon. By James Peirce. One of them.', ""A tractate on church music [microform] : being an extract from the Reverend and learned Mr. Peirce's vindication of the dissenters."", ""The Dissenters reasons for not writing in the behalf of persecution Design'd for the satisfaction of Dr. Snape, in a letter to him. By James Peirce.""]","[1719.0, 1786.0, 1718.0]","['London : printed for John Clark,', 'London : [s.n.,', 'London : printed for John Clark,']","['eng', 'eng', 'eng']","[nan, 'Dissenters, Religious', nan]","['ESTC', 'Microfiche.', 'ESTC']",,,,left_only
James R. Lawler,"['Lawler, James R.(James Ronald),1929-']",['The poet as analyst essays on Paul Valéry'],[1974.0],['Berkeley London University of California Press'],['eng'],"['Valéry, Paul, 1871-1945']",['Includes index'],,,,left_only
James Robertson,"['Robertson, James,1928-', 'Robertson, James,Headmaster of Haileybury College.', 'Robertson, James,1714-1795.', 'Robertson, James,1945-']","['The sane alternative a choice of futures', 'Arachnia, occasional verses.', 'Outlines of Hebrew syntax /', 'The poet chief : Alexander Robertson of Struan 1670-1749 /']","[1983.0, 1904.0, 1883.0, 2011.0]","['Ironbridge J. Robertson', 'London, ', 'Glasgow : Maclehose,', '[Kinloss?] : Librario,']","['eng', 'eng', 'eng', 'eng']","['Civilization.', nan, 'Hebrew language', 'Jacobites']","['Includes index', nan, 'Translation of: Hebräische Schulgrammatik, part 3.', 'Includes bibliographical references and index.']",,,,left_only
James Russell Lowell,"['Lowell, James Russell,1819-1891.', 'Lowell, James Russell,1819-1891.']","['Early prose writings /', 'The old English dramatists.']","[1902.0, 1892.0]","['London & New York, ', 'London,']","['eng', 'eng']","[nan, nan]","[nan, nan]",,,,left_only
James S. Candlish,"['Candlish, James S.(James Stuart),1835-1897.']",['The authority of Scripture independent of criticism /'],[1877.0],"['Edinburgh : Adam and Charles Black,']",['eng'],['Bible'],[nan],,,,left_only
James Scott Bell,"['Bell, James Scott.']",['Try dying : a novel /'],[2008.0],"['New York : Center Street,']",['eng'],"['Buchanan, Ty (Fictitious character)']","['""A fast-paced legal thriller in which lawyer Ty Buchanan will enter a world of unbelievable evil to discover the cause of his fiancee\'s death, prepared to kill for the truth""--Provided by the publisher.']",,,,left_only
James S. Ormrod,"['Ormrod, James S.editor.edthttp://id.loc.gov/vocabulary/relators/edt']","['Changing our Environment, Changing Ourselves [electronic resource] : Nature, Labour, Knowledge and Alienation /']",[nan],[nan],['eng'],['Environmental Geography.'],"['In this book, a celebration of the work of the sociologist Peter Dickens serves as the catalyst for exploring the relationship between human ‘internal nature’ (our health and psychological well-being) and ‘external nature’ (the environment on which we depend and which we collectively transform). Across contributions from Ted Benton, James Ormrod, Kate Soper, John Bellamy Foster and Brett Clark, Graham Sharp, James Addicott, Kathryn Dean and Peter Dickens himself, the book draws attention to alienation associated with the promotion of different knowledges in late capitalist production. But it also highlights the possibilities for generating less alienated relations with our environment in the future. As well as discussing the philosophical and theoretical issues involved, the book contains contemporary case studies of ultra-processed food, satellite farming, computerised thinking and dark tourism. James S. Ormrod is a Principal Lecturer in Sociology, University of Brighton, UK. His research interests are in social movements and the relationships human beings have with their environment and the universe in general. He is the author of Fantasy and Social Movements (2014) and, with Peter Dickens, Cosmic Society (2007).']",,,,left_only
James Singleton,"['Singleton, James, Writer on Shorthand.']","[""The shorthand student's assistant: an arrangement of lessons, etc.""]",[1881.0],"['Leeds, ']",['eng'],[nan],[nan],,,,left_only
James T. Gibson Craig,"['Craig, James T. Gibson(James Thomson Gibson),1799-1886.', 'Craig, James T. Gibson(James Thomson Gibson),1799-1886,former owner.StEdNL: Ry.II.b.6']","[""The Gibson Craig library : catalogue of the valuable and very extensive library of the late J. T. Gibson Craig, Esq. (removed from Edinburgh.) ... which will be sold by auction by Messrs. Sotheby, Wilkinson & Hodge, auctioneers of literary property & works illustrative of the fine arts, at their house, No. 13, Wellington Street, Strand, W.C. on Monday, the 27th day of June, 1887, and nine following days, at one o 'clock precisely. May be viewed two days prior. Catalogues may be had."", 'The spy.']","[1887.0, 1810.0]","['London : Dryden Press, J. Davy and Sons, 137, Long Acre, London, W.C.,', '[Edinburgh : s.n.],']","['eng', 'eng']","['Rare books', nan]","['First portion sold June 27-July 7, 1887 ; 2d portion, March 23-April 16, 1888 ; 3d portion, Nov. 15-17, 1888. ""Prices and purchasers\' names"" at end of catalogue of each portion. Total realized by the library, £15,509 4s. 6d.', 'Armorial bookplate of the 5th Earl of Rosebery on the front pastedown. Entry from a sale catalogue pasted onto the verso of the front free endpaper ""Hogg (James) The Spy, a Periodical Paper, 1810-11, presentation copy from J. Hogg (the principal contributor) with autograph inscription, and the Author\'s names, &c. placed against most of the articles, in his handwriting, russia extra g.e. 4to ib 1811 With 2 interesting Autograph Letters of James Hogg, and Memoranda in the handwriting of Profr. Gillespie respecting Hogg\'s literary productions."" Manuscript inscription on the recto of the second flyleaf deleted. Manuscript inscription on the verso of the second flyleaf ""To Mr John Aitkin From his affectionate friend James Hogg"", and below, in pencil ""In testimony of deep respect presented to J.T. Gibson Craig Esq By J Aitkin"". Several items tipped in before the title page: A letter from Aitkin to Gibson-Craig dated 1827 presenting the book and some of Hogg\'s letters; a letter from Hogg to Aitkin dated 1819 presenting the book and mentioning that ""to enhance the value of it I will write the name of every author at the head of each essay and poem as far as I reccollect them""; a letter from Hogg to bookseller James Boyde dated 1823; an undated letter from T. Gillespie about his writing; a newspaper clipping, the verso of which containes the obituary of Professor Thomas Gillespie. Hogg\'s manuscript annotations occur throughout the text.']",,,,left_only
James Thompson,"['Thompson, James, Author of A History of Leicester.']",['The history of Leicester ...'],[1849.0],"['Leicester, ']",['eng'],[nan],[nan],,,,left_only
James W. Coleman,"['Coleman, James W.(James Wilmouth),1946-']","[""Writing blackness : John Edgar Wideman's art and experimentation /""]",[2010.0],"['Baton Rouge, La. : Louisiana State University Press,']",['eng'],['African Americans in literature.'],"['Brothers and keepers, Fatheralong, Hoop roots, and The island: Martinique: the fictionalized auto/biographies -- A glance away, Hurry home, and the Lynchers: modernist experimentation and the early novels -- Hiding place, Damballah, and Sent for you yesterday: new dimensions of postmodern experimentation in the Homewood trilogy -- Reuben and Philadelphia fire: progressive experimentation after the Homewood trilogy -- The cattle killing, Two cities, and Fanon: extending experimental writing, making it clear, and extending it further.']",,,,left_only
James W. Jones Collection of Gay and Lesbian LiteratureWU,['James W. Jones Collection of Gay and Lesbian Literature.WU'],['Facing it : a novel of AIDS /'],[nan],[nan],['eng'],['AIDS (Disease)'],['The Cushing Library/Women & Gender Studies copy was acquired as part of The Don Kelly Research Collection of Gay Literature and Culture.'],,,,left_only
JamesBD Morton,"['Morton, James,B.D., Vicar of Holbeach.']","['Memoirs of the life and writings of ... John Leyden, etc.']",[1825.0],"['Calcutta,']",['eng'],[nan],[nan],,,,left_only
JamesEnkele opmerkingen over de werking van de Heilige Geest en het onderscheid tussen wet en evangelie Hog,"['Hog, JamesEnkele opmerkingen over de werking van de Heilige Geest en het onderscheid tussen wet en evangelie, zijnde een kort overzicht van sommige huisoefeningen over Ga.3:2.']",['De gemeenschap der heiligen vertoond en bevorderd wordende door het Heilig Avondmaal voorgesteld in een verhandeling over 1 Cor.10:17 /'],[1980.0],"[""Utrecht Hertog's Uitgeverij B.V.""]",['dut'],"[""Lord's Supper.""]",['Includes a short biography of the author Thomas Boston'],,,,left_only
JamesMorning after Hicks,"['Hicks, James.Morning after.']",['The morning after a novel /'],[1986.0],['London Severn House'],['eng'],[nan],[nan],,,,left_only
James McCaffrey,"['McCaffrey, James.author.authttp://id.loc.gov/vocabulary/relators/aut']",['.NET Test Automation Recipes [electronic resource] : A Problem-Solution Approach /'],[nan],[nan],['eng'],['Software Engineering/Programming and Operating Systems.'],"[""If you develop, test, or manage .NET software, you will find .NET Test Automation Recipes: A Problem-Solution Approach very useful. The book presents practical techniques for writing lightweight software test automation in a .NET environment and covers API testing thoroughly. It also discusses lightweight, custom Windows application\xa0user interface\xa0automation and teaches you low-level web application\xa0user interface\xa0automation. Additional material covers SQL stored procedure testing techniques. The examples in this book have been successfully used in seminars and teaching environments where they have proven highly effective for students who are learning intermediate-level .NET programming. You'll come away from the book knowing how to write production-quality combination and permutation methods.""]",,,,left_only
Jan Olsen,"['Olsen, Jan.']",['Electronic journal literature : implications for scholars /'],[1994.0],"['Westpost, Conn. ; London : Mecklermedia,']",['eng'],[nan],[nan],,,,left_only
Jan Spivey Gilchrist,"['Gilchrist, Jan Spivey.']",['Nathaniel talking /'],[1988.0],"[""New York, N.Y. : Published by Writers and Readers Publishing, Inc. for Black Butterfly Children's Books,""]",['eng'],[nan],[nan],,,,left_only
Jan Madsen,"['Madsen, Jan.author.authttp://id.loc.gov/vocabulary/relators/aut']","['Microfluidic Very Large Scale Integration (VLSI) [electronic resource] : Modeling, Simulation, Testing, Compilation and Physical Synthesis /']",[nan],[nan],['eng'],['Electronic Circuits and Devices.'],"['This book presents the state-of-the-art techniques for the modeling, simulation, testing, compilation and physical synthesis of mVLSI biochips. The authors describe a top-down modeling and synthesis methodology for the mVLSI biochips, inspired by microelectronics VLSI methodologies. They introduce a modeling framework for the components and the biochip architecture, and a high-level microfluidic protocol language. Coverage includes a topology graph-based model for the biochip architecture, and a sequencing graph to model for biochemical application, showing how the application model can be obtained from the protocol language. The techniques described facilitate programmability and automation, enabling developers in the emerging, large biochip market. · Presents the current models used for the research on compilation and synthesis techniques of mVLSI biochips in a tutorial fashion; · Includes a set of ""benchmarks"", that are presented in great detail and includes the source code of several of the techniques presented, including solutions to the basic compilation and synthesis problems; · Discusses several new research problems in detail, using numerous examples.']",,,,left_only
Jane Aaron,"['Aaron, Jane.']",['A double singleness : gender and the writings of Charles and Mary Lamb /'],[1991.0],"['Oxford : Clarendon,']",['eng'],"['Lamb, Mary, 1764-1847.']",['Includes bibliography and index'],,,,left_only
Jane Curtis,"['Curtis, Jane.']",['Longman academic writing series.'],[nan],[nan],['eng'],['Report writing'],"['Previous edition: Introduction to academic writing, 3; 3rd ed, 2007.']",,,,left_only
Jane Mace,"['Mace, Jane.']",['Working with words literacy beyond school'],[1979.0],['London Writers and Readers Publishing Cooperative [for] Chameleon'],['eng'],['Illiteracy'],['Previous control number ISBN 0-906495-00-8'],,,,left_only
Jane Marcus,"['Marcus, Jane.', 'Marcus, Jane.']","['Hearts of darkness : white women write race /', 'New feminist essays on Virginia Woolf']","[2004.0, 1981.0]","['New Brunswick, N.J. ; London : Rutgers University Press ,', 'London Macmillan']","['eng', 'eng']","['White women', 'Woolf, Virginia, 1882-1941.']","['Includes bibliographical references and index.', 'Includes index']",,,,left_only
Jane Marshall,"['Marshall, Jane,active 18th century.']",['A series of letters. By the author of Clarinda Cathcart; ...'],[1789.0],"['Edinburgh printed for the author, and sold by C. Elliot...']",['eng'],['Scottish letters.'],"['Name of author, Jean Marishall [sic], from dedication.']",,,,left_only
Jane Wilkinson,"['Wilkinson, Jane.']","['Talking with African writers : interviews with African poets, playwrights & novelists /']",[1992.0],"['London : James Currey,']",['eng'],[nan],['Includes bibliographies'],,,,left_only
