author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency
Joseph Bedier,"['Bédier, Joseph,1864-1938.']", "['Hommage à Gaston Paris, etc.']", [1904.0],"['Paris,']",['fre'],[nan],[nan],1904.0,1904.0,1
Joseph Jacobs,"['Jacobs, Joseph.', 'Jacobs, Joseph,D.Litt.']", "['The three wishes /', 'The Jews of Angevin England. Documents and records from Latin and Hebrew sources ... /']", "[1963.0, 1893.0]","['Tadworth,', 'London, ']","['eng', 'eng']","[nan, nan]","[nan, nan]",1893.0,1963.0,2
Joseph Priestley,"['Priestley, Joseph,1733-1804.', 'Priestley, Joseph,1733-1804.', 'Priestley, Joseph,1733-1804.', 'Priestley, Joseph,1733-1804.', 'Priestley, Joseph,1733-1804.', 'Priestley, Joseph,1733-1804.', 'Priestley, Joseph,1733-1804.', 'Priestley, Joseph,1733-1804.', 'Priestley, Joseph,1733-1804.']", '[\'Letters to Dr. Horsley, in answer to his animadversions on the History of the corruptions of Christianity. With additional evidence that the primitive Christian church was Unitarian. By Joseph Priestley, ...\', "Letters to a philosophical unbeliever. Part III. Containing an answer to Mr. Paine\'s Age of reason. By Joseph Priestley, L.L.D. F.R.S. &c. &c.", "Letters to a philosophical unbeliever. Part III. Containing an answer to Mr. Paine\'s Age of reason. By Joseph Priestley, L.L.D. F.R.S. &c. &c.", \'A discourse on occasion of the death of Dr. Price; delivered at Hackney, on Sunday, May 1, 1791. By Joseph Priestley, LL.D. ...\', \'The scripture doctrine of remission Which sheweth that the death of Christ is no proper sacrifice nor satisfaction for sin: but that pardon is dispensed solely on account of repentance, or a personal reformation of the sinner.\', "Extracts from Dr. Priestley\'s works, read in court at the last Warwick Assizes.", \'Letters to a philosophical unbeliever. Part I. Containing an examination of the principal objections to the doctrines of natural religion, and especially those contained in the writings of Mr. Hume. By Joseph Priestley, ...\', \'A familiar introduction to the study of electricity. By Joseph Priestley, ...\', "Defences of Unitarianism for the year 1787, containing letters to the Rev. Dr. Geddes, to the Rev. Dr. Price, part II. and to the candidates for orders in the two universities. Part II. Relating to Mr. Howes\'s appendix ... and several other publications. By Joseph Priestley, ..."]', "[1783.0, 1795.0, 1795.0, 1791.0, 1761.0, 1792.0, 1780.0, 1786.0, 1788.0]","['Birmingham : printed by Pearson and Rollason, for J. Johnson, London,', 'Philadelphia : Printed by Thomas Dobson, at the stone-house, no. 41, South Second-Street,', 'Philadelphia : Printed by Thomas Dobson, at the stone-house, no. 41, South Second-Street,', 'London : printed for J. Johnson,', 'London : printed for C. Henderson, R. Griffiths, T. Beckett and P. A. De Hondt,', '[Birmingham] : Printed at Birmingham,', 'Bath : printed by R. Cruttwell; and sold by J. Johnson, London,', 'London : printed for J. Johnson,', 'Birmingham : printed for the author by Pearson and Rollason, and sold by J. Johnson, London,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan, nan, nan, 'Hume, David, 1711-1776.', nan, nan]","['ESTC', 'Evans,', 'Evans,', 'ESTC', 'ESTC', 'ESTC', 'Crook', 'ESTC', 'ESTC']",1761.0,1795.0,9
Joy Adamson,"['Adamson, Joy.']", '["Joy Adamson\'s Africa"]', [1972.0],['London Collins and Harvill Press'],['eng'],['Zoology'],[nan],1972.0,1972.0,1
Joyce Carol Oates,"['Oates, Joyce Carol,1938-', 'Oates, Joyce Carol,1938-', 'Oates, Joyce Carol,1938-']", "['First love : a Gothic tale /', 'My heart laid bare /', 'Foxfire : confessions of a girl-gang /']", "[1996.0, 1998.0, 1994.0]","['Hopewell, N.J.: Ecco Press,', 'New York : Dutton,', 'London : Picador in association with Macmillan,']","['eng', 'eng', 'eng']","['Families', 'Swindlers and swindling', nan]","['BNA', 'BNA', nan]",1994.0,1998.0,3
Joyce Dennys,"['Dennys, Joyce,1893-']", "['Economy must be our watchword. [With sketches by the author.]']", [1932.0],"['London, ']",['eng'],[nan],[nan],1932.0,1932.0,1
Jules Michelet,"['Michelet, Jules,1798-1874.']", "['La sorcière /']", [1966.0],[nan],['und'],[nan],[nan],1966.0,1966.0,1
Julia Cameron,"['Cameron, Julia.']", "['The vein of gold : a journey to your creative heart /']", [2004.0],"['London : Souvenir,']",['eng'],['Inner child.'],['where the reader comes to fully inhabit his or her creative life vision.'],2004.0,2004.0,1
Julian Colbeck,"['Colbeck, Julian.']", "['Keyfax the guide to electronic keyboards']", [1985.0],['Virgin'],['   '],[nan],[nan],1985.0,1985.0,1
Julian Hawthorne,"['Hawthorne, Julian.', 'Hawthorne, Julian.', 'Hawthorne, Julian.']", '[\'An American penman. From the diary of inspector Byrnes.\', "Doctor Grimshawe\'s secret. A romance /", \'A tragic mystery. From the diary of Inspector Byrnes.\']', "[1888.0, 1896.0, 1888.0]","['London,', 'London,', 'London, ']","['eng', 'eng', 'eng']","[nan, nan, nan]","[nan, nan, nan]",1888.0,1896.0,3
Julius Caesar,"['Caesar, Julius.', 'Caesar, Julius.']", "['C. Julii Cæsaris quæ exstant, interpretatione & notis illustravit Joannes Godvinus ... in usum Delphini. Juxta editionem parisiensem.', 'C. Julii Cæsaris quæ extant, accuratissime cum libris editis et MSS optimis collata, recognita & correcta. Accesserunt annotationes Samuelis Clarke, S.T.P. Item indices locorum, rerumque & verborum, utilissimæ.']", "[1731.0, 1739.0]","['Londini : typis T. Wood; impensis J. & J. Knapton, D. Midwinter & A. Ward, A. Bettesworth, S. Ballard, G. Innys [and 5 others in London],', 'Londini : sumptibus & typis J. & R. Tonson, & J. Watts,']","['lat', 'lat']","[nan, nan]","['ESTC', 'ESTC']",1731.0,1739.0,2
Justine Smith,"['Smith, Justine.']", "['Peekaboo.']", [2009.0],"['Ladybird,']",['eng'],[nan],['Cover title.'],2009.0,2009.0,1
Kate Hudson,"['Hudson, Kate,1958-']", "['Breaking the South Slav dream : the rise and fall of Yugoslavia /']", [2003.0],"['London : Pluto Press,']",['eng'],[nan],['Includes bibliographical references and index.'],2003.0,2003.0,1
Katharine Whitehorn,"['Whitehorn, Katharine,1928-']", "['How to survive your money problems /']", [1983.0],['London Methuen'],['eng'],['Home economics'],['Includes index'],1983.0,1983.0,1
Katherine Anne Porter,"['Porter, Katherine Anne.', 'Porter, Katherine Anne,1890-1980.']", "['Hacienda. [A tale of Mexico.]', 'The collected essays and occasional writings of Katherine Anne Porter.']", "[1934.0, 1970.0]","['[New York], ', 'New York, Delacorte Press']","['eng', 'eng']","[nan, nan]","[nan, '"A Seymour Lawrence book."']",1934.0,1970.0,2
Kathleen Edwards,"['Edwards, Kathleen.']", "['The English secular cathedrals in the middle ages. A constitutional study with special reference to the fourteenth century. [With plates and a bibliography.]']", [1967.0],"['Manchester, ']",['eng'],[nan],[nan],1967.0,1967.0,1
Katie Hickman,"['Hickman, Katie,1960-']", "['Dreams of the peaceful dragon a journey into Bhutan']", [1988.0],['Sevenoaks Sceptre'],['eng'],[nan],"['Originally published: London : Gollancz, 1987']",1988.0,1988.0,1
Katy Jackson,"['Jackson, Katy.']", "['Beautiful home colouring book.']", [2011.0],"['Buster Books,']",['eng'],[nan],[nan],2011.0,2011.0,1
Keith Buckley,"['Buckley, Keith.']", "['Five plays for Christmas']", [1987.0],['Oxford Basil Blackwell'],['eng'],['Jesus Christ'],[nan],1987.0,1987.0,1
Keith Maillard,"['Maillard, Keith,1942-']", "['Dementia americana : poems /']", [1994.0],"['Vancouver : Ronsdale/Cacanadada,']",['eng'],[nan],[nan],1994.0,1994.0,1
Keith Morris,"['Morris, Keith.']", "['The Anglo-Canadian year book.']", [1914.0],"['London : William Stevens Limited,']",['eng'],[nan],"['"A standard work of reference on all matters appertaining to the Dominion of Canada."']",1914.0,1914.0,1
Kelly Cherry,"['Cherry, Kelly.']", "['The life and death of poetry : poems /']", [2013.0],"['Baton Rouge : Louisiana State University Press,']",['eng'],[nan],"['Machine generated contents note: Learning the Language -- Which Is a Verb -- A Sunday in Scotland -- Fields with Shrew -- The Bright Field -- Field Notes -- Seen but Not Heard -- A Blue Jay in the Snow -- The Loveknot -- Night Vowels -- The First Word -- Learning the Language -- Mute -- Frontward -- Talking with Only One Functional Vocal Cord -- Against Aphasia -- Language -- The Lizard at Syracuse -- Wintering -- Fiction -- Chekhov in Yalta -- "Lovelily" -- Poetic Justice -- Ars Poetica -- Underwriting the Words -- A Voice Survives -- Welsh Table Talk (A Sequence) -- Welsh Song -- On Bardsey Island -- Rain, Early Morning, Bardsey Island -- The Mad Friar -- The Sheep-Fly -- Scene -- Welsh Table Talk -- Line Fishing -- The Conversation -- Dream Daughter -- Girls -- A Woman in Wales -- The Spring -- Men Who Go to Work Each Day -- A Day Spent Walking and Writing -- The Manx Shearwater -- The Last Night -- Learning to Live with Stone -- What the Poet Wishes to Say -- On Translation -- What the Poet Wishes to Say.']",2013.0,2013.0,1
Kenneth Attiwill,"['Attiwill, Kenneth.', 'Attiwill, Kenneth.']", "['Two minutes.', 'Once a crook. A play in a prologue and three acts.']", "[1934.0, 1943.0]","['London, ', 'London, ']","['eng', 'eng']","[nan, nan]","[nan, 'Joint authors: Evadne Price, pseud. [i.e. Helen Zenna Smith] and Kenneth Attiwill.']",1934.0,1943.0,2
Kenneth Branagh,"['Branagh, Kenneth.']", "['Beginning /']", [1990.0],"['London : Pan Books,']",['eng'],[nan],[nan],1990.0,1990.0,1
Kenneth Clark,"['Clark, Kenneth,1903-1983.', 'Clark, Kenneth,1922-', 'Clark, Kenneth,1903-1983.']", "['More details from pictures in the National Gallery /', 'Pottery throwing for beginners', 'Florentine paintings, fifteenth century /']", "[1941.0, 1970.0, 1945.0]","['London,', 'ondon Studio Vista', 'London,']","['eng', 'eng', 'eng']","[nan, 'Pottery.', nan]","[nan, 'bibl p102', nan]",1941.0,1970.0,3
Kenneth Grahame,"['Grahame, Kenneth,1859-1932.', 'Grahame, Kenneth,1859-1932.Wind in the willows.', 'Grahame, Kenneth,1859-1932.', 'Grahame, Kenneth,1859-1932.Wind in the willows.', 'Grahame, Kenneth,1859-1932.', 'Grahame, Kenneth,1859-1932.Wind in the willows.']", "['The wind in the willows /', 'The wind in the willows.', 'The golden age.', 'Return to Toad Hall /', 'Dream days.', 'The wind in the willows /']", "[1992.0, 2007.0, 1909.0, 1995.0, 1899.0, 2007.0]","['Ware : Wordsworth Editions,', 'New York : Sterling Pub. Co.,', 'London, ', 'St Albans : David Bennett Books,', 'New York & London, ', 'New York : Sterling,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, 'Adventure and adventurers', nan, nan, nan, 'Animals']","['"Complete and unabridged."', 'A brief, simplified retelling of the episode in "The Wind in the Willows" during which Mole goes to visit his friend Badger in the Wild Wood and gets lost in a snow storm with Rat.', nan, nan, nan, "An abridged version of Kenneth Grahame's classic tale of the escapades of four animal friends who live along a river in the English countryside--Toad, Mole, Rat, and Badger."]",1899.0,2007.0,6
Kenneth Leslie,"['Leslie, Kenneth.']", "['Such a din! poems']", [1935.0],"['Halifax, N.S. J. McCurdy']",['eng'],['Canadian poetry.'],[nan],1935.0,1935.0,1
Kerry Shale,"['Shale, Kerry.']", "['Orinoco the Magnificent /']", [2000.0],"["London : Hodder Children's Books,"]",['eng'],[nan],['Read by Kerry Shale.'],2000.0,2000.0,1
Kingsley Amis,"['Amis, Kingsley.', 'Amis, Kingsley,author.', 'Amis, Kingsley,author.', 'Amis, Kingsley.', 'Amis, Kingsley.', 'Amis, Kingsley.']", '[\'That uncertain feeling. A novel.\', \'nan\', \'nan\', "Mr. Barrett\'s secret and other stories /", \'Tennyson\', \'Lucky Jim /\']', "[1966.0, 1994.0, 1973.0, 1990.0]","['London, ', nan, nan, 'Leicester : Ulverscroft,', 'Harmondsworth Penguin', 'London : Hodder and Stoughton,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan, 'English poetry.', nan]","[nan, 'Originally published: London : Victor Gollancz Ltd., 1958.', 'Originally published: [London] : Jonathan Cape Ltd., 1965.', 'Originally published: London : Hutchinson, 1993.', nan, nan]",1966.0,1994.0,4
L. Ron Hubbard,"['Hubbard, L. Ron(La Fayette Ron),1911-1986.', 'Hubbard, L. Ron(La Fayette Ron),1911-1986.']", "['The way to happiness', 'East Grinstead. Photo story.']", "[1981.0, 1966.0]","['Los Angeles Regent House', 'East Grinstead : Hubbard Association of Scientologists International,']","['eng', 'eng']","['Conduct of life.', nan]","[nan, nan]",1966.0,1981.0,2
L. Sprague De Camp,"['De Camp, L. Sprague(Lyon Sprague),1907-2000.']", "['The clocks of Iraz. volume two of The Reluctant King']", [1979.0],['London Grafton'],['eng'],[nan],"['Originally published: London : Sphere, 1979']",1979.0,1979.0,1
Lady Gregory,"['Gregory,Lady,1852-1932.']", "['Our Irish theatre: a chapter of autobiography.']", [1914.0],"['New York & London, ']",['eng'],[nan],[nan],1914.0,1914.0,1
Langston Hughes,"['Hughes, Langston,1902-1967.']", "['Laughing to keep from crying. (Short stories.).']", [1952.0],"['New York, ']",['eng'],[nan],[nan],1952.0,1952.0,1
Larry Kramer,"['Kramer, Larry.', 'Kramer, Larry.']", "['The normal heart', 'The destiny of me : a play in three acts /']", "[1986.0, 1993.0]","['London Methuen in association with the Royal Court Theatre', 'London : Nick Hern Books,']","['eng', 'eng']","[nan, nan]","['Originally published: New York : New American Library, 1985', 'Five men, 2 women.']",1986.0,1993.0,2
Larry McMurtry,"['McMurtry, Larry.']", "['The late child /']", [1998.0],"['London : Orion,']",['eng'],[nan],['Originally published: 1996.'],1998.0,1998.0,1
Laud Humphreys,"['Humphreys, Laud.']", "['Tearoom trade a study of homosexual encounters in public places /']", [1974.0],['London Duckworth'],['eng'],['Public toilets'],['Includes index'],1974.0,1974.0,1
Laura Ingalls Wilder,"['Wilder, Laura Ingalls,1867-1957.']", '["On the banks of Plum Creek. [A story for children based on the author\'s family life] /"]', [1953.0],"['New York,']",['eng'],[nan],[nan],1953.0,1953.0,1
Leila Ahmed,"['Ahmed, Leila.']", "['Women and gender in Islam : historical roots of a modern debate /']", [1992.0],"['New Haven ; London : Yale University Press,']",['eng'],[nan],[nan],1992.0,1992.0,1
Lennox Robinson,"['Robinson, Lennox,1886-1958.']", "['Church Street. A play [in one act.]']", [1955.0],"['Belfast, ']",['eng'],[nan],[nan],1955.0,1955.0,1
Leonard Cohen,"['Cohen, Leonard,1934-2016.']", "['Parasites of heaven. [Verse.]']", [1966.0],"['Toronto,']",['eng'],[nan],[nan],1966.0,1966.0,1
Leonardo Boff,"['Boff, Leonardo.']", "['Ecclesiogenesis the base communities reinvent the church']", [1986.0],['London Collins'],['eng'],['Christianity'],['Includes index'],1986.0,1986.0,1
Leslie Brooks,"['Brooks, Leslie.']", "['Matrimonial causes. Being an exposition of the Matrimonial Causes Act, 1937, the Summary Procedure (Domestic Proceedings) Act, 1937.']", [1937.0],"['London, ']",['eng'],[nan],[nan],1937.0,1937.0,1
Lester Cohen,"['Cohen, Lester.']", "['Sweepings.']", [1927.0],"['London, ']",['eng'],[nan],[nan],1927.0,1927.0,1
Lewis Carroll,"['Carroll, Lewis,1832-1898.', 'Carroll, Lewis,1832-1898.', 'Carroll, Lewis,1832-1898.', 'Carroll, Lewis,1832-1898.Through the looking glass.', 'Carroll, Lewis,1832-1898.Through the looking-glass.']", '["Alice\'s adventures in wonderland and through the looking glass /", \'Alice in wonderland /\', \'Notes by an Oxford Chiel [C.L. Dodgson], 1865-1874.\', "Alice\'s adventures in Wonderland ; and, Through the looking glass and what Alice found there /", "Alice\'s adventures in Wonderland ; and, Through the looking-glass and what Alice found there /"]', "[1954.0, 1961.0, 1874.0, 2010.0, 2008.0]","['London, ', 'London : [s.n.],', '[Oxford,', 'London : Bloomsbury,', 'Oxford : Oxford University Press,']","['eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, 'Fantasy fiction, English.', 'Fantasy.']","[nan, nan, 'A microfilm of the British Museum copy.', 'This ed. originally published: 2001.', 'Includes bibliographical references (pages xxix-xxx).']",1874.0,2010.0,5
Lewis Mumford,"['Mumford, Lewis,1895-1990.']", "['The myth of the machine. Technics and human development. [Illustrated.]']", [1967.0],"['London, ']",['eng'],[nan],[nan],1967.0,1967.0,1
Lidia Vianu,"['Vianu, Lidia.']", "['Censorship in Romania /']", [1998.0],"['Budapest : Central European University Press,']",['eng'],['Politics and literature.'],[nan],1998.0,1998.0,1
Lin Carter,"['Carter, Lin.']", "['Conan the buccaneer /']", [1975.0],"['London : Sphere,']",['eng'],[nan],[nan],1975.0,1975.0,1
Linda Jane Smith,"['Smith, Linda Jane,1962-']", "['Three little kittens /']", [1990.0],"["London : Michael O'Mara,"]",['eng'],[nan],[nan],1990.0,1990.0,1
Lionel Pigot Johnson,"['Johnson, Lionel Pigot.']", "['Poetical works /']", [1915.0],"['London, ']",['eng'],[nan],[nan],1915.0,1915.0,1
Lisa Bloom,"['Bloom, Lisa.']", "['Gender on ice : American ideologies of polar expeditions /']", [1993.0],"['Minneapolis ; London : University of Minnesota Press,']",['eng'],['Feminist criticism.'],['Includes bibliographical references (p. 149-158) and index.'],1993.0,1993.0,1
Lois Duncan,"['Duncan, Lois,1934-']", "['The eyes of Karen Connors /']", [1989.0],"['London : Puffin,']",['eng'],[nan],[nan],1989.0,1989.0,1
Lou Cameron,"['Cameron, Lou,1924-2010.']", '["The bastard\'s name is war"]', [1968.0],['Hodder Fawcett'],['eng'],[nan],"['Originally published, Fawcett Publications, 1963']",1968.0,1968.0,1
Louis Joseph Vance,"['Vance, Louis Joseph.', 'Vance, Louis Joseph.']", "['The black bag /', 'The Lone Wolf.']", "[1917.0, 1919.0]","['London, ', 'London, ']","['eng', 'eng']","[nan, nan]","[nan, nan]",1917.0,1919.0,2
Louis Untermeyer,"['Untermeyer, Louis,1885-1977.', 'Untermeyer, Louis,1885-1977.']", "['Moses. [Fiction.]', 'Lots of limericks. Light, lusty and lasting /']", "[1929.0, 1962.0]","['London,', 'London,']","['eng', 'eng']","[nan, nan]","[nan, nan]",1929.0,1962.0,2
Louise Meriwether,"['Meriwether, Louise.']", "['Daddy was a number runner']", [1972.0],['London Hodder and Stoughton'],['eng'],[nan],"['Originally published, Englewood Cliffs: Prentice-Hall, 1970']",1972.0,1972.0,1
Luis de la Rosa,"['Rosa, Luis de la,-1856.']", "['Impresiones de un viage de Mexico a Washington en octubre y noviembre de 1848 [microform] /']", [1849.0],"['Nueva-York : Impre. de W.G. Stewart,']",['spa'],[nan],['Microfiche.'],1849.0,1849.0,1
Mahatma Gandhi,"['Gandhi,Mahatma,1869-1948.']", "['An autobiography; or the story of my experiments with truth /']", [1956.0],"['Ahmedabad,']",['eng'],[nan],[nan],1956.0,1956.0,1
Malcolm Muggeridge,"['Muggeridge, Malcolm,1903-1990.Muggeridge through the microphone.', 'Muggeridge, Malcolm,1903-1990.']", "['Muggeridge ancient & modern /', 'Jesus rediscovered']", "[1981.0, 1969.0]","['London British Broadcasting Corporation', 'London Fontana']","['eng', 'eng']","[nan, 'Theology, Doctrinal.']","['Previous ed.: published as Muggeridge through the microphone. 1967', nan]",1969.0,1981.0,2
Manfred Messerschmidt,"['Messerschmidt, Manfred.']", "['Deutschland in englischer Sicht : die Wandlungen des Deutschlandbildes in der englischen Geschichtsschreibung.']", [1955.0],"['Düsseldorf : M. Triltsch,']",['ger'],[nan],['Includes index and bibliographies.'],1955.0,1955.0,1
Margaret Drabble,"['Drabble, Margaret,1939-', 'Drabble, Margaret,1939-']", "['The millstone', 'The middle ground : a novel /']", "[1973.0, 1980.0]","['Bath Chivers', 'London : Weidenfeld and Nicolson,']","['eng', 'eng']","[nan, 'English fiction.']","['Originally published: London : Weidenfeld and Nicolson, 1965', nan]",1973.0,1980.0,2
Margaret Elizabeth Munson Sangster,"['Sangster, Margaret Elizabeth Munson,1838-1912.']", "['Radiant motherhood: a book for the twentieth century mother.']", [1905.0],"['Indianapolis,']",['eng'],[nan],[nan],1905.0,1905.0,1
Margaret Forster,"['Forster, Margaret,1938-']", "['Hidden lives : a family memoir /']", [1995.0],"['London : Penguin,']",['eng'],[nan],"['Originally published: London: Viking, 1995']",1995.0,1995.0,1
Margaret Laurence,"['Laurence, Margaret.']", "['New wind in a dry land']", [1964.0],['New York Knopf'],['eng'],[nan],"["First published in London in 1963 under the title 'The Prophet's camel bell'"]",1964.0,1964.0,1
Margaret Murray,"['Murray, Margaret,Novelist.']", "['The scarlet stranger.']", [1945.0],"['London, ']",['eng'],[nan],[nan],1945.0,1945.0,1
Margaret Tarrant,"['Tarrant, Margaret,1888-1959.']", "['Favourite fairy tales /']", [1929.0],"['London,']",['eng'],[nan],[nan],1929.0,1929.0,1
Marguerite Yourcenar,"['Yourcenar, Marguerite.', 'Yourcenar, Marguerite.', 'Yourcenar, Marguerite.']", "['Memoirs of Hadrian and reflections on the composition of Memoirs of Hadrian /', 'Souvenirs pieux.', 'Denier du rêve /']", "[1972.0, 1974.0, 1971.0]","['New York Farrar, Straus & Giroux', '[Paris] Gallimard', '[Paris] Gallimard']","['eng', 'fre', 'fre']","[nan, 'Authors, French', nan]","[nan, nan, nan]",1971.0,1974.0,3
Maria J. McIntosh,"['McIntosh, Maria J.(Maria Jane),1803-1878.', 'McIntosh, Maria J.(Maria Jane),1803-1878.']", "['Conquest and self-conquest; or, Which makes the hero? /', 'Praise and principle; or, For what shall I live? /']", "[1876.0, 1877.0]","['London,', 'London,']","['eng', 'eng']","[nan, nan]","[nan, nan]",1876.0,1877.0,2
Maria Mies,"['Mies, Maria.']", "['Patriarchy and accumulation on a world scale women in the international division of labour']", [1986.0],['London Zed'],['eng'],['Women'],['Includes bibliography and index'],1986.0,1986.0,1
Maria Montessori,"['Montessori, Maria,1870-1952.', 'Montessori, Maria,1870-1952.', 'Montessori, Maria,1870-1952.']", '[\'From childhood to adolescence /\', \'Pedagogical anthropology /\', \'The Montessori method. Scientific pedagogy as applied to child education in "The children\\\'s houses" /\']', "[1976.0, 1913.0, 1912.0]","['New York : Schocken Books,', 'London,', 'London,']","['eng', 'eng', 'eng']","['Child development.', nan, nan]","["Translation of: De l'enfant à l'adolescent.", nan, nan]",1912.0,1976.0,3
Marian Eldridge,"['Eldridge, Marian,1936-']", "['The woman at the window /']", [1989.0],"['St. Lucia : University of Queensland Press,']",['eng'],[nan],[nan],1989.0,1989.0,1
Marie Borroff,"['Borroff, Marie.']", "['Sir Gawain and the green knight. A stylistic and metrical study.']", [1962.0],"['New Haven [Conn.] & London ], ']",['eng'],[nan],['[With a bibliography.]'],1962.0,1962.0,1
Marilyn Duckworth,"['Duckworth, Marilyn,1935-']", "['The matchbox house']", [1987.0],['Oxford University Press'],['eng'],[nan],[nan],1987.0,1987.0,1
Marilyn French,"['French, Marilyn,1929-']", '["The book as world James Joyce\'s \'Ulysses\'"]', [1976.0],"['Cambridge, Mass. London Harvard University Press']",['eng'],"['Joyce, James, 1882-1941.']",['Includes index'],1976.0,1976.0,1
Marjorie Douglas,"['Douglas, Marjorie.']", "['The home of the Aylmers.']", [1933.0],"['London, ']",['eng'],[nan],[nan],1933.0,1933.0,1
Mark Hamill,"['Hamill, Mark.']", "['Impressions of a cross : Donaghmore, County Tyrone /']", [1988.0],"['Dungannon : Irish World,']",['eng'],[nan],[nan],1988.0,1988.0,1
Mark Henry Richmond,"['Richmond, M. H.(Mark Henry)']", "['Essays in applied microbiology']", [1981.0],['Chichester Wiley'],['eng'],['Microbiology.'],['Includes bibliographies and index'],1981.0,1981.0,1
Mark Kurlansky,"['Kurlansky, Mark.']", "['The white man in the tree and other stories /']", [2001.0],"['London : Vintage,']",['eng'],['Pluralism (Social sciences)'],"['Originally published: U.S.: Pocket Books, 2000; London: Jonathan Cape, 2001.']",2001.0,2001.0,1
Mark Twain,"['Twain, Mark,1835-1910.Adventures of Tom Sawyer.']", "['Anturiaethau Tom Sawyer /']", [1983.0],['Abertawe [Swansea] Gwasg Mynydd Mawr'],['wel'],[nan],[nan],1983.0,1983.0,1
Marlene Dietrich,"['Dietrich, Marlene.']", "['My life /']", [1989.0],['London Weidenfeld and Nicolson'],['eng'],[nan],['Includes index'],1989.0,1989.0,1
Marta Segarra,"['Segarra, Marta.']", "['The portable Cixous /']", [2010.0],"['New York ; Chichester : Columbia University Press,']",['eng'],"["Cixous, Heĺe'ne, 1937-"]",['Includes bibliographical references and index.'],2010.0,2010.0,1
Martin Cruz Smith,"['Smith, Martin Cruz,1942-']", "['Havana Bay /']", [1999.0],"['London : Macmillan,']",['eng'],['Murder'],[nan],1999.0,1999.0,1
Martin Harry Greenberg,"['Greenberg, Martin Harry.']", "['New stories from the Twilight Zone /']", [1992.0],"['London : Warner,']",['eng'],[nan],"['Originally published in the US: Avon Books, 1991.']",1992.0,1992.0,1
Martin Kemp,"['Kemp, Martin.']", "['Bodyscapes : images of human anatomy from the collections of St. Andrews University /']", [1995.0],"['[St. Andrews : Crawford Arts Centre],']",['eng'],"['Anatomy, Artistic']",['Caption title.'],1995.0,1995.0,1
